timestamp_ms,id,x1,y1,x2,y2
14040.000000000002,117,933,658,1061,974
14040.000000000002,118,1431,380,1529,563
14040.000000000002,119,604,275,715,447
14040.000000000002,120,896,248,1012,470
14040.000000000002,121,1046,395,1149,610
14040.000000000002,122,660,347,762,522
14040.000000000002,123,1418,237,1504,360
14040.000000000002,124,1174,245,1263,456
14040.000000000002,125,721,274,827,467
14040.000000000002,126,1090,279,1169,484
14040.000000000002,127,357,340,496,542
14040.000000000002,128,538,476,668,693
14040.000000000002,129,1376,199,1487,304
14040.000000000002,130,969,171,1062,362
14040.000000000002,131,598,439,713,609
14040.000000000002,132,412,203,527,380
14040.000000000002,133,1409,71,1494,219
14040.000000000002,134,1354,5,1459,108
14040.000000000002,135,792,228,875,410
14040.000000000002,136,1137,22,1220,189
14040.000000000002,137,1378,3,1469,99
14040.000000000002,138,1430,7,1511,63
14040.000000000002,139,842,160,918,341
14040.000000000002,140,887,28,965,211
14040.000000000002,141,1362,1,1452,74
14040.000000000002,142,955,19,1017,194
14040.000000000002,143,1180,0,1275,99
14040.000000000002,144,74,388,239,600
14040.000000000002,145,197,282,326,474
14040.000000000002,146,1111,362,1679,1062
14040.000000000002,147,228,434,391,676
14040.000000000002,148,457,256,578,453
14040.000000000002,149,108,0,255,91
14040.000000000002,150,542,196,654,359
14040.000000000002,151,592,163,696,323
14040.000000000002,152,740,53,825,205
14040.000000000002,153,801,19,873,152
14040.000000000002,154,912,7,982,142
14040.000000000002,155,171,1,363,97
14040.000000000002,156,753,635,898,883
14040.000000000002,157,859,2,921,96
14040.000000000002,158,0,916,167,1080
14040.000000000002,159,857,512,979,732
14040.000000000002,160,294,0,437,105
14040.000000000002,161,915,434,1023,640
14040.000000000002,162,1012,297,1102,480
14040.000000000002,163,1087,155,1156,349
14040.000000000002,164,721,188,815,340
14040.000000000002,165,817,81,906,251
14040.000000000002,166,1056,119,1131,280
14040.000000000002,167,1097,65,1176,233
14040.000000000002,168,982,0,1100,100
14080.0,82,1778,159,1906,346
14080.0,83,1418,960,1667,1080
14080.0,84,461,596,626,850
14080.0,85,579,532,728,759
14080.0,86,1321,727,1856,1077
14080.0,87,662,455,803,664
14080.0,88,747,359,877,561
14080.0,89,1540,590,1661,782
14080.0,90,734,403,866,612
14080.0,91,1822,636,1920,902
14080.0,92,542,685,702,935
14080.0,93,798,327,919,517
14080.0,94,1517,487,1620,629
14080.0,95,245,776,470,1043
14080.0,96,941,527,1054,713
14080.0,97,1716,448,1865,685
14080.0,98,854,280,967,470
14080.0,99,358,579,532,849
14080.0,100,849,846,995,1078
14080.0,101,30,733,281,1053
14080.0,102,1667,312,1788,514
14080.0,103,975,357,1068,557
14080.0,104,178,584,377,859
14080.0,105,625,772,779,1080
14080.0,106,501,372,637,560
14080.0,107,1215,409,1433,836
14080.0,108,1634,210,1734,383
14080.0,109,308,486,483,735
14080.0,110,560,302,683,487
14080.0,111,1733,665,1906,948
14080.0,112,988,544,1107,791
14080.0,113,1334,236,1421,428
14080.0,114,1590,108,1683,274
14080.0,115,417,404,569,630
14080.0,116,1566,28,1636,176
14080.0,117,933,658,1061,974
14080.0,118,1431,380,1529,563
14080.0,119,604,275,715,447
14080.0,120,896,248,1012,470
14080.0,121,1046,395,1149,610
14080.0,122,660,347,762,522
14080.0,123,1418,237,1504,360
14080.0,124,1174,245,1263,456
14080.0,125,721,274,827,467
14080.0,126,1090,279,1169,484
14080.0,127,357,340,496,542
14080.0,128,538,476,668,693
14080.0,129,1376,199,1487,304
14080.0,130,969,171,1062,362
14080.0,131,598,439,713,609
14080.0,132,412,203,527,380
14080.0,133,1409,71,1494,219
14080.0,134,1354,5,1459,108
14080.0,135,792,228,875,410
14080.0,136,1138,21,1220,188
14080.0,137,1378,3,1469,99
14080.0,138,1430,7,1511,63
14080.0,139,842,160,918,341
14080.0,140,887,28,965,211
14080.0,141,1362,1,1452,74
14080.0,142,955,19,1017,194
14080.0,143,1180,0,1275,99
14080.0,144,74,388,239,600
14080.0,145,197,282,326,474
14080.0,146,1111,362,1679,1062
14080.0,147,228,434,391,676
14080.0,148,457,256,578,453
14080.0,149,108,0,255,91
14080.0,150,542,196,654,359
14080.0,151,592,163,696,323
14080.0,152,740,53,825,205
14080.0,153,801,19,873,152
14080.0,154,912,7,982,142
14080.0,155,171,1,363,97
14080.0,156,753,635,898,883
14080.0,157,859,2,921,96
14080.0,158,0,916,167,1080
14080.0,159,857,512,979,732
14080.0,160,294,0,438,105
14080.0,161,915,434,1023,640
14080.0,162,1012,297,1102,480
14080.0,163,1087,155,1156,349
14080.0,164,721,188,815,340
14080.0,165,817,81,906,251
14080.0,166,1056,119,1131,280
14080.0,167,1097,65,1176,233
14080.0,168,982,0,1100,100
14120.000000000002,82,1778,159,1906,346
14120.000000000002,83,1418,960,1667,1080
14120.000000000002,84,461,596,626,850
14120.000000000002,85,579,532,728,759
14120.000000000002,86,1321,727,1856,1077
14120.000000000002,87,662,455,803,664
14120.000000000002,88,747,359,877,561
14120.000000000002,89,1540,590,1661,782
14120.000000000002,90,734,403,866,612
14120.000000000002,91,1822,636,1920,902
14120.000000000002,92,542,685,702,935
14120.000000000002,93,798,327,919,517
14120.000000000002,94,1517,487,1620,629
14120.000000000002,95,245,776,470,1043
14120.000000000002,96,941,527,1054,713
14120.000000000002,97,1716,448,1865,685
14120.000000000002,98,854,280,967,470
14120.000000000002,99,358,579,532,849
14120.000000000002,100,849,846,995,1078
14120.000000000002,101,30,733,281,1053
14120.000000000002,102,1667,312,1788,514
14120.000000000002,103,975,357,1068,557
14120.000000000002,104,178,584,377,859
14120.000000000002,105,625,772,779,1080
14120.000000000002,106,501,372,637,560
14120.000000000002,107,1215,409,1433,836
14120.000000000002,108,1634,210,1734,383
14120.000000000002,109,308,486,483,735
14120.000000000002,110,560,302,683,487
14120.000000000002,111,1733,665,1906,948
14120.000000000002,112,988,544,1107,791
14120.000000000002,113,1334,236,1421,428
14120.000000000002,114,1590,108,1683,274
14120.000000000002,115,417,404,569,630
14120.000000000002,116,1566,28,1636,176
14120.000000000002,117,933,658,1061,974
14120.000000000002,118,1431,380,1529,563
14120.000000000002,119,604,275,715,447
14120.000000000002,120,896,248,1012,470
14120.000000000002,121,1046,395,1149,610
14120.000000000002,122,660,347,762,522
14120.000000000002,123,1418,237,1504,360
14120.000000000002,124,1174,245,1263,456
14120.000000000002,125,721,274,827,467
14120.000000000002,126,1090,279,1169,484
14120.000000000002,127,357,340,496,542
14120.000000000002,128,538,476,668,693
14120.000000000002,129,1376,199,1487,304
14120.000000000002,130,969,171,1062,362
14120.000000000002,131,598,439,713,609
14120.000000000002,132,412,203,527,380
14120.000000000002,133,1409,71,1494,219
14120.000000000002,134,1354,5,1459,108
14120.000000000002,135,792,228,875,410
14120.000000000002,136,1139,20,1220,185
14120.000000000002,137,1378,3,1469,99
14120.000000000002,138,1430,7,1511,63
14120.000000000002,139,842,160,918,341
14120.000000000002,140,887,28,965,211
14120.000000000002,141,1362,1,1452,74
14120.000000000002,142,955,19,1017,194
14120.000000000002,143,1180,0,1275,99
14120.000000000002,144,74,388,239,600
14120.000000000002,145,197,282,326,474
14120.000000000002,146,1111,362,1679,1062
14120.000000000002,147,228,434,391,676
14120.000000000002,148,457,256,578,453
14120.000000000002,149,108,0,255,91
14120.000000000002,150,542,196,654,359
14120.000000000002,151,592,163,696,323
14120.000000000002,152,740,53,825,205
14120.000000000002,153,801,19,873,152
14120.000000000002,154,912,7,982,142
14120.000000000002,155,171,1,363,97
14120.000000000002,156,753,635,898,883
14120.000000000002,157,859,2,921,96
14120.000000000002,158,0,916,167,1080
14120.000000000002,159,857,512,979,732
14120.000000000002,160,294,0,438,105
14120.000000000002,161,915,434,1023,640
14120.000000000002,162,1012,297,1102,480
14120.000000000002,163,1087,155,1156,349
14120.000000000002,164,721,188,815,340
14120.000000000002,165,817,81,906,251
14120.000000000002,166,1056,119,1131,280
14120.000000000002,167,1097,65,1176,233
14120.000000000002,168,982,0,1100,100
14160.0,82,1778,159,1906,346
14160.0,83,1418,960,1667,1080
14160.0,84,461,596,626,850
14160.0,85,579,532,728,759
14160.0,86,1321,727,1856,1077
14160.0,87,662,455,803,664
14160.0,88,747,359,877,561
14160.0,89,1540,590,1661,782
14160.0,90,734,403,866,612
